Feature,Data_Type,Missing_Count,Missing_%,Unique_Values
hemoglobin,float64,26603,30.49613682738382,136
lactate,float64,26603,30.49613682738382,485
troponin,float64,26603,30.49613682738382,703
glucose,float64,26603,30.49613682738382,302
creatinine,float64,26603,30.49613682738382,303
potassium,float64,26603,30.49613682738382,388
sodium,float64,26603,30.49613682738382,291
platelet_count,float64,26603,30.49613682738382,356
inr,float64,26603,30.49613682738382,261
wbc,float64,26603,30.49613682738382,1890
bnp,float64,26603,30.49613682738382,709
heart_rate,float64,5492,6.2957103881514085,145
diastolic_bp,float64,5492,6.2957103881514085,122
temperature,float64,5492,6.2957103881514085,73
spo2,float64,5492,6.2957103881514085,255
pain_score,float64,5492,6.2957103881514085,11
systolic_bp,float64,5492,6.2957103881514085,177
respiratory_rate,float64,5492,6.2957103881514085,43
esi_level,int64,0,0.0,5
arrival_year,int32,0,0.0,4
arrival_month,int32,0,0.0,12
arrival_day,int32,0,0.0,31
arrival_hour,int32,0,0.0,24
arrival_dayofweek,int32,0,0.0,7
is_weekend,int64,0,0.0,2
encounter_id,str,0,0.0,87234
patient_id,str,0,0.0,96
clinical_notes,str,0,0.0,4232
chief_complaint,str,0,0.0,28
arrival_timestamp,datetime64[us],0,0.0,85466
sex,str,0,0.0,2
age,int64,0,0.0,83
country,str,0,0.0,3
site_id,int64,0,0.0,6
text,str,0,0.0,4258
